,tip_cell_activated,"tumor_diameter (sau) (range: [0.075, 0.75])","D_af_range (sau^2 / tau) (range: [0.00024375000000000004, 0.2437500000000001])","V_pT_af (1 / tau) (range: [0.008658113476736123, 12.291428953580745])","V_uc_af_range (1 / tau) (range: [0.7176, 624.0000000000002]) "
0,False,0.075,0.00024375,0.008658113476736,0.7176
1,False,0.075,0.00024375,0.008658113476736,3.89679868445612
2,False,0.075,0.00024375,0.008658113476736,21.1608695473508
3,False,0.075,0.00024375,0.008658113476736,114.910324155608
4,False,0.075,0.00024375,0.008658113476736,624
5,False,0.075,0.00024375,0.053145689879792,0.7176
6,False,0.075,0.00024375,0.053145689879792,3.89679868445612
7,False,0.075,0.00024375,0.053145689879792,21.1608695473508
8,False,0.075,0.00024375,0.053145689879792,114.910324155608
9,False,0.075,0.00024375,0.053145689879792,624
10,False,0.075,0.00024375,0.326221683324916,0.7176
11,False,0.075,0.00024375,0.326221683324916,3.89679868445612
12,False,0.075,0.00024375,0.326221683324916,21.1608695473508
13,False,0.075,0.00024375,0.326221683324916,114.910324155608
14,False,0.075,0.00024375,0.326221683324916,624
15,False,0.075,0.00024375,2.00243118326342,0.7176
16,False,0.075,0.00024375,2.00243118326342,3.89679868445612
17,False,0.075,0.00024375,2.00243118326342,21.1608695473508
18,False,0.075,0.00024375,2.00243118326342,114.910324155608
19,False,0.075,0.00024375,2.00243118326342,624
20,False,0.075,0.00024375,12.2914289535807,0.7176
21,False,0.075,0.00024375,12.2914289535807,3.89679868445612
22,False,0.075,0.00024375,12.2914289535807,21.1608695473508
23,False,0.075,0.00024375,12.2914289535807,114.910324155608
24,False,0.075,0.00024375,12.2914289535807,624
25,False,0.075,0.01033888492648,0.008658113476736,0.7176
26,False,0.075,0.01033888492648,0.008658113476736,3.89679868445612
27,False,0.075,0.01033888492648,0.008658113476736,21.1608695473508
28,False,0.075,0.01033888492648,0.008658113476736,114.910324155608
29,False,0.075,0.01033888492648,0.008658113476736,624
30,False,0.075,0.01033888492648,0.053145689879792,0.7176
31,False,0.075,0.01033888492648,0.053145689879792,3.89679868445612
32,False,0.075,0.01033888492648,0.053145689879792,21.1608695473508
33,False,0.075,0.01033888492648,0.053145689879792,114.910324155608
34,False,0.075,0.01033888492648,0.053145689879792,624
35,False,0.075,0.01033888492648,0.326221683324916,0.7176
36,False,0.075,0.01033888492648,0.326221683324916,3.89679868445612
37,False,0.075,0.01033888492648,0.326221683324916,21.1608695473508
38,False,0.075,0.01033888492648,0.326221683324916,114.910324155608
39,False,0.075,0.01033888492648,0.326221683324916,624
40,False,0.075,0.01033888492648,2.00243118326342,0.7176
41,False,0.075,0.01033888492648,2.00243118326342,3.89679868445612
42,False,0.075,0.01033888492648,2.00243118326342,21.1608695473508
43,False,0.075,0.01033888492648,2.00243118326342,114.910324155608
44,False,0.075,0.01033888492648,2.00243118326342,624
45,False,0.075,0.01033888492648,12.2914289535807,0.7176
46,False,0.075,0.01033888492648,12.2914289535807,3.89679868445612
47,False,0.075,0.01033888492648,12.2914289535807,21.1608695473508
48,False,0.075,0.01033888492648,12.2914289535807,114.910324155608
49,False,0.075,0.01033888492648,12.2914289535807,624
50,False,0.075,0.103388849264797,0.008658113476736,0.7176
51,False,0.075,0.103388849264797,0.008658113476736,3.89679868445612
52,False,0.075,0.103388849264797,0.008658113476736,21.1608695473508
53,False,0.075,0.103388849264797,0.008658113476736,114.910324155608
54,False,0.075,0.103388849264797,0.008658113476736,624
55,False,0.075,0.103388849264797,0.053145689879792,0.7176
56,False,0.075,0.103388849264797,0.053145689879792,3.89679868445612
57,False,0.075,0.103388849264797,0.053145689879792,21.1608695473508
58,False,0.075,0.103388849264797,0.053145689879792,114.910324155608
59,False,0.075,0.103388849264797,0.053145689879792,624
60,False,0.075,0.103388849264797,0.326221683324916,0.7176
61,False,0.075,0.103388849264797,0.326221683324916,3.89679868445612
62,False,0.075,0.103388849264797,0.326221683324916,21.1608695473508
63,False,0.075,0.103388849264797,0.326221683324916,114.910324155608
64,False,0.075,0.103388849264797,0.326221683324916,624
65,False,0.075,0.103388849264797,2.00243118326342,0.7176
66,False,0.075,0.103388849264797,2.00243118326342,3.89679868445612
67,False,0.075,0.103388849264797,2.00243118326342,21.1608695473508
68,False,0.075,0.103388849264797,2.00243118326342,114.910324155608
69,False,0.075,0.103388849264797,2.00243118326342,624
70,False,0.075,0.103388849264797,12.2914289535807,0.7176
71,False,0.075,0.103388849264797,12.2914289535807,3.89679868445612
72,False,0.075,0.103388849264797,12.2914289535807,21.1608695473508
73,False,0.075,0.103388849264797,12.2914289535807,114.910324155608
74,False,0.075,0.103388849264797,12.2914289535807,624
75,False,0.075,0.24375,0.008658113476736,0.7176
76,False,0.075,0.24375,0.008658113476736,3.89679868445612
77,False,0.075,0.24375,0.008658113476736,21.1608695473508
78,False,0.075,0.24375,0.008658113476736,114.910324155608
79,False,0.075,0.24375,0.008658113476736,624
80,False,0.075,0.24375,0.053145689879792,0.7176
81,False,0.075,0.24375,0.053145689879792,3.89679868445612
82,False,0.075,0.24375,0.053145689879792,21.1608695473508
83,False,0.075,0.24375,0.053145689879792,114.910324155608
84,False,0.075,0.24375,0.053145689879792,624
85,False,0.075,0.24375,0.326221683324916,0.7176
86,False,0.075,0.24375,0.326221683324916,3.89679868445612
87,False,0.075,0.24375,0.326221683324916,21.1608695473508
88,False,0.075,0.24375,0.326221683324916,114.910324155608
89,False,0.075,0.24375,0.326221683324916,624
90,False,0.075,0.24375,2.00243118326342,0.7176
91,False,0.075,0.24375,2.00243118326342,3.89679868445612
92,False,0.075,0.24375,2.00243118326342,21.1608695473508
93,False,0.075,0.24375,2.00243118326342,114.910324155608
94,False,0.075,0.24375,2.00243118326342,624
95,False,0.075,0.24375,12.2914289535807,0.7176
96,False,0.075,0.24375,12.2914289535807,3.89679868445612
97,False,0.075,0.24375,12.2914289535807,21.1608695473508
98,False,0.075,0.24375,12.2914289535807,114.910324155608
99,False,0.075,0.24375,12.2914289535807,624
100,False,0.24375,0.00024375,0.008658113476736,0.7176
101,False,0.24375,0.00024375,0.008658113476736,3.89679868445612
102,False,0.24375,0.00024375,0.008658113476736,21.1608695473508
103,False,0.24375,0.00024375,0.008658113476736,114.910324155608
104,False,0.24375,0.00024375,0.008658113476736,624
105,False,0.24375,0.00024375,0.053145689879792,0.7176
106,False,0.24375,0.00024375,0.053145689879792,3.89679868445612
107,False,0.24375,0.00024375,0.053145689879792,21.1608695473508
108,False,0.24375,0.00024375,0.053145689879792,114.910324155608
109,False,0.24375,0.00024375,0.053145689879792,624
110,False,0.24375,0.00024375,0.326221683324916,0.7176
111,False,0.24375,0.00024375,0.326221683324916,3.89679868445612
112,False,0.24375,0.00024375,0.326221683324916,21.1608695473508
113,False,0.24375,0.00024375,0.326221683324916,114.910324155608
114,False,0.24375,0.00024375,0.326221683324916,624
115,False,0.24375,0.00024375,2.00243118326342,0.7176
116,False,0.24375,0.00024375,2.00243118326342,3.89679868445612
117,False,0.24375,0.00024375,2.00243118326342,21.1608695473508
118,False,0.24375,0.00024375,2.00243118326342,114.910324155608
119,False,0.24375,0.00024375,2.00243118326342,624
120,False,0.24375,0.00024375,12.2914289535807,3.89679868445612
121,False,0.24375,0.00024375,12.2914289535807,21.1608695473508
122,False,0.24375,0.00024375,12.2914289535807,114.910324155608
123,False,0.24375,0.00024375,12.2914289535807,624
124,False,0.24375,0.01033888492648,0.008658113476736,0.7176
125,False,0.24375,0.01033888492648,0.008658113476736,3.89679868445612
126,False,0.24375,0.01033888492648,0.008658113476736,21.1608695473508
127,False,0.24375,0.01033888492648,0.008658113476736,114.910324155608
128,False,0.24375,0.01033888492648,0.008658113476736,624
129,False,0.24375,0.01033888492648,0.053145689879792,0.7176
130,False,0.24375,0.01033888492648,0.053145689879792,3.89679868445612
131,False,0.24375,0.01033888492648,0.053145689879792,21.1608695473508
132,False,0.24375,0.01033888492648,0.053145689879792,114.910324155608
133,False,0.24375,0.01033888492648,0.053145689879792,624
134,False,0.24375,0.01033888492648,0.326221683324916,0.7176
135,False,0.24375,0.01033888492648,0.326221683324916,3.89679868445612
136,False,0.24375,0.01033888492648,0.326221683324916,21.1608695473508
137,False,0.24375,0.01033888492648,0.326221683324916,114.910324155608
138,False,0.24375,0.01033888492648,0.326221683324916,624
139,False,0.24375,0.01033888492648,2.00243118326342,0.7176
140,False,0.24375,0.01033888492648,2.00243118326342,3.89679868445612
141,False,0.24375,0.01033888492648,2.00243118326342,21.1608695473508
142,False,0.24375,0.01033888492648,2.00243118326342,114.910324155608
143,False,0.24375,0.01033888492648,2.00243118326342,624
144,False,0.24375,0.01033888492648,12.2914289535807,114.910324155608
145,False,0.24375,0.01033888492648,12.2914289535807,624
146,False,0.24375,0.103388849264797,0.008658113476736,0.7176
147,False,0.24375,0.103388849264797,0.008658113476736,3.89679868445612
148,False,0.24375,0.103388849264797,0.008658113476736,21.1608695473508
149,False,0.24375,0.103388849264797,0.008658113476736,114.910324155608
150,False,0.24375,0.103388849264797,0.008658113476736,624
151,False,0.24375,0.103388849264797,0.053145689879792,0.7176
152,False,0.24375,0.103388849264797,0.053145689879792,3.89679868445612
153,False,0.24375,0.103388849264797,0.053145689879792,21.1608695473508
154,False,0.24375,0.103388849264797,0.053145689879792,114.910324155608
155,False,0.24375,0.103388849264797,0.053145689879792,624
