 ,Label,Area,Mean,Min,Max,Angle,Length
1,,43.000,202.684,51.962,253.832,38.946,42.208
2,,39.000,195.664,82.705,253.094,-4.038,38.318
3,,38.000,211.676,135.028,254.627,-115.017,37.218
4,Mean,40.000,203.341,89.898,253.851,-26.703,39.248
5,SD,2.646,8.026,41.998,0.767,79.444,2.622
6,Min,38.000,195.664,51.962,253.094,-115.017,37.218
7,Max,43.000,211.676,135.028,254.627,38.946,42.208
