 ,Label,Area,Mean,Min,Max,Angle,Length
1,,25.000,136.500,75.000,217.468,0.000,23.872
2,,25.000,156.607,84.206,196.075,67.543,23.972
3,,23.000,136.713,50.110,207.763,-32.645,22.451
4,Mean,24.333,143.273,69.772,207.102,11.633,23.432
5,SD,1.155,11.548,17.639,10.711,51.097,0.851
6,Min,23.000,136.500,50.110,196.075,-32.645,22.451
7,Max,25.000,156.607,84.206,217.468,67.543,23.972
